sample_kind,horizon_h,event_id,event_quality_x,target_fog_family,target_fg,target_mifg,target_br,lead_to_event_min,timestamp,year,month,hour_utc,auto,t_c,td_c,spread_c,rh_pct,wind_dir_deg,wind_kt,gust_kt,visibility_m,qnh_hpa,ceiling_ft,vv_ft,cloud_total_oktas,cloud_low_oktas,current_br,current_mifg,current_fog_truth,current_precip,trail6_obs,trail6_precip_obs,ceiling_slope_1h,median_wind_1h,min_ceiling_1h,min_spread_1h,min_vis_1h,obs_1h,spread_slope_1h,vis_slope_1h,ceiling_slope_3h,median_wind_3h,min_ceiling_3h,min_spread_3h,min_vis_3h,obs_3h,spread_slope_3h,vis_slope_3h,ceiling_slope_6h,median_wind_6h,min_ceiling_6h,min_spread_6h,min_vis_6h,obs_6h,spread_slope_6h,vis_slope_6h,synop_temperature_c,synop_dew_point_c,synop_spread_c,synop_relative_humidity_pct,synop_wind_direction_deg,synop_wind_speed_ms,synop_visibility_m,synop_cloud_base_m_agl,synop_total_cloud_oktas,synop_present_weather_code,synop_teacher_br,synop_teacher_shallow_fog,synop_teacher_fg,synop_age_min,event_onset,event_last_positive,event_onset_previous_clear,event_dissipation_next_clear,event_positive_span_h,event_quality_y,event_min_visibility_m
pre_event_6h,6,1,low,1,0,1,0,360.000,2020-04-21T22:00:00Z,2020,4,22,0,6.800,-0.430,7.230,60.000,20.000,8.000,,10000.000,1027.000,,,0.000,0.000,0,0,0,0,13,0,,14.000,,7.230,10000.000,3,-0.280,0.000,,12.000,,7.230,10000.000,7,-0.424,-0.000,,12.000,,7.230,10000.000,13,-1.480,0.000,6.800,-0.400,7.200,60.100,20.000,4.000,10000.000,3000.000,0.000,,False,False,False,0.000,2020-04-22T04:00:00Z,2020-04-22T04:30:00Z,2020-04-21T22:00:00Z,2020-04-22T05:00:00Z,0.500,low,10000.000
control,6,0,control,0,0,0,0,,2020-04-22T22:00:00Z,2020,4,22,0,7.200,0.180,7.020,61.000,350.000,6.000,,10000.000,1025.000,,,0.000,0.000,0,0,0,0,13,0,,6.000,,6.790,10000.000,3,-0.210,0.000,,6.000,,6.790,10000.000,7,-0.429,-0.000,,10.000,,6.790,10000.000,13,-1.614,0.000,7.200,0.200,7.000,61.100,350.000,3.000,10000.000,3000.000,0.000,,False,False,False,0.000,,,,,,,
pre_event_6h,6,3,low,1,0,1,0,360.000,2020-05-07T22:00:00Z,2020,5,22,0,9.200,3.180,6.020,66.000,250.000,8.000,,10000.000,1019.000,,,4.000,4.000,0,0,0,0,13,0,,10.000,,6.020,10000.000,3,-0.690,0.000,,8.000,,6.020,10000.000,7,-1.271,-0.000,,10.000,,6.020,10000.000,13,-1.593,0.000,9.200,3.100,6.100,65.600,250.000,4.000,10000.000,3000.000,4.000,,False,False,False,0.000,2020-05-08T04:00:00Z,2020-05-08T04:30:00Z,2020-05-07T22:30:00Z,2020-05-08T05:00:00Z,0.500,low,10000.000
control,6,0,control,0,0,0,0,,2020-05-11T19:00:00Z,2020,5,19,0,3.400,1.120,2.280,85.000,340.000,22.000,36.000,7000.000,1002.000,800.000,,8.000,6.000,0,0,0,1,14,12,0.000,20.000,800.000,2.150,7000.000,3,0.130,0.000,-42.857,20.000,800.000,2.150,6000.000,7,-0.082,-142.857,-50.853,20.000,800.000,2.150,6000.000,14,-0.240,-759.867,3.400,1.000,2.400,84.300,340.000,11.000,7000.000,250.000,8.000,60.000,False,False,False,0.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-05-26T00:00:00Z,2020,5,0,0,9.600,7.880,1.720,89.000,350.000,10.000,,10000.000,1029.000,4000.000,,7.000,3.000,0,0,0,0,13,0,-8000.000,10.000,4000.000,1.720,10000.000,3,-0.870,0.000,-8000.000,8.000,4000.000,1.720,10000.000,7,-0.244,-0.000,-8000.000,6.000,4000.000,1.720,10000.000,13,-0.564,0.000,9.600,7.900,1.700,89.100,350.000,5.000,10000.000,150.000,7.000,35.000,False,False,False,0.000,,,,,,,
pre_event_6h,6,4,high,1,1,0,1,360.000,2020-05-26T19:00:00Z,2020,5,19,0,13.400,8.250,5.150,71.000,360.000,6.000,,10000.000,1032.000,,,0.000,0.000,0,0,0,0,14,0,,6.000,,5.150,10000.000,3,-1.610,0.000,,6.000,,5.150,10000.000,7,-0.865,-0.000,227.062,8.000,2100.000,5.150,10000.000,14,-0.087,-0.000,13.400,8.300,5.100,71.300,0.000,3.000,10000.000,3000.000,0.000,,False,False,False,0.000,2020-05-27T01:00:00Z,2020-05-27T06:00:00Z,2020-05-27T00:30:00Z,2020-05-27T06:30:00Z,5.000,high,200.000
pre_event_3h,3,4,high,1,1,0,1,180.000,2020-05-26T22:00:00Z,2020,5,22,0,10.000,7.250,2.750,83.000,,,,10000.000,1032.000,,,0.000,0.000,0,0,0,0,13,0,,6.000,,2.750,10000.000,3,-0.560,0.000,,6.000,,2.750,10000.000,7,-0.808,-0.000,,6.000,,2.750,10000.000,13,-0.977,0.000,10.000,7.300,2.700,83.300,330.000,3.000,10000.000,3000.000,0.000,,False,False,False,0.000,2020-05-27T01:00:00Z,2020-05-27T06:00:00Z,2020-05-27T00:30:00Z,2020-05-27T06:30:00Z,5.000,high,200.000
pre_event_1h,1,4,high,1,1,0,1,60.000,2020-05-27T00:00:00Z,2020,5,0,0,8.100,6.400,1.700,89.000,330.000,8.000,,10000.000,1032.000,,,0.000,0.000,0,0,0,0,13,0,,4.000,,1.700,10000.000,3,-0.350,0.000,,6.000,,1.700,10000.000,7,-0.546,-0.000,,6.000,,1.700,10000.000,13,-0.806,0.000,8.100,6.400,1.700,89.000,330.000,4.000,10000.000,3000.000,0.000,,False,False,False,0.000,2020-05-27T01:00:00Z,2020-05-27T06:00:00Z,2020-05-27T00:30:00Z,2020-05-27T06:30:00Z,5.000,high,200.000
control,6,0,control,0,0,0,0,,2020-05-28T22:00:00Z,2020,5,22,0,9.900,3.180,6.720,63.000,330.000,16.000,,10000.000,1026.000,,,2.000,2.000,0,0,0,0,13,0,,12.000,,6.720,10000.000,3,-0.960,0.000,,12.000,,6.720,10000.000,7,-1.256,-0.000,,14.000,20000.000,6.720,10000.000,13,-0.340,0.000,9.900,3.200,6.700,63.100,330.000,8.000,10000.000,3000.000,2.000,,False,False,False,0.000,,,,,,,
control,3,0,control,0,0,0,0,,2020-05-31T22:00:00Z,2020,5,22,0,12.600,5.510,7.090,62.000,350.000,14.000,,10000.000,1020.000,,,0.000,0.000,0,0,0,0,13,0,,12.000,,7.090,10000.000,3,-1.010,0.000,,12.000,,7.090,10000.000,7,-1.441,-0.000,,14.000,,7.090,10000.000,13,-1.503,0.000,12.600,5.500,7.100,62.000,350.000,7.000,10000.000,3000.000,0.000,,False,False,False,0.000,,,,,,,
control,6,0,control,0,0,0,0,,2020-06-01T01:30:00Z,2020,6,1,0,9.700,5.090,4.610,73.000,350.000,10.000,,10000.000,1020.000,,,0.000,0.000,0,0,0,0,13,0,,10.000,,4.610,10000.000,3,-0.200,0.000,,10.000,,4.610,10000.000,7,-0.661,-0.000,,10.000,,4.610,10000.000,13,-0.989,0.000,10.800,5.100,5.700,67.900,340.000,5.000,10000.000,3000.000,0.000,,False,False,False,30.000,,,,,,,
control,6,0,control,0,0,0,0,,2020-06-01T23:00:00Z,2020,6,23,0,10.800,4.480,6.320,65.000,310.000,10.000,,10000.000,1018.000,,,3.000,3.000,0,0,0,0,13,0,,8.000,,6.320,10000.000,3,-0.730,0.000,,8.000,,6.320,10000.000,7,-1.964,-0.000,,10.000,,6.320,10000.000,13,-1.678,0.000,10.800,4.500,6.300,65.100,310.000,5.000,10000.000,3000.000,3.000,,False,False,False,0.000,,,,,,,
control,3,0,control,0,0,0,0,,2020-06-02T01:30:00Z,2020,6,1,0,12.000,5.620,6.380,65.000,330.000,12.000,,10000.000,1017.000,,,2.000,2.000,0,0,0,0,13,0,,10.000,,6.370,10000.000,3,-0.210,0.000,,10.000,,6.320,10000.000,7,-0.032,-0.000,,10.000,,6.320,10000.000,13,-0.959,0.000,11.900,5.500,6.400,64.900,330.000,5.000,10000.000,3000.000,2.000,,False,False,False,30.000,,,,,,,
control,6,0,control,0,0,0,0,,2020-06-02T22:30:00Z,2020,6,22,0,9.500,4.090,5.410,69.000,340.000,8.000,,10000.000,1010.000,,,3.000,3.000,0,0,0,0,13,0,,12.000,,5.410,10000.000,3,-0.650,0.000,,10.000,,5.410,10000.000,7,-1.269,-0.000,,12.000,,5.410,10000.000,13,-2.202,0.000,9.900,3.900,6.000,66.300,0.000,6.000,10000.000,3000.000,1.000,,False,False,False,30.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-06-04T03:30:00Z,2020,6,3,1,8.100,5.210,2.890,82.000,60.000,4.000,,,1002.000,,,,,0,0,0,0,13,0,,4.000,,2.530,,3,0.360,,,2.000,,2.530,,7,-0.416,,,4.000,,2.530,10000.000,13,-0.660,-0.000,7.400,4.900,2.500,84.200,30.000,2.000,,3000.000,,,False,False,False,30.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-06-04T06:00:00Z,2020,6,6,0,14.600,7.870,6.730,64.000,60.000,4.000,,10000.000,1001.000,,,0.000,0.000,0,0,0,0,13,0,,2.000,,4.260,10000.000,3,2.470,0.000,,4.000,,2.530,10000.000,7,1.353,0.000,,2.000,,2.530,10000.000,13,0.297,-0.000,14.600,7.900,6.700,64.200,60.000,2.000,10000.000,3000.000,0.000,,False,False,False,0.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-06-04T18:30:00Z,2020,6,18,0,19.100,4.450,14.650,38.000,110.000,10.000,,10000.000,997.000,20000.000,,6.000,6.000,0,0,0,0,14,0,0.000,10.000,20000.000,14.650,10000.000,3,-1.810,0.000,-0.000,10.000,20000.000,14.650,10000.000,7,-1.028,-0.000,-0.000,10.000,20000.000,14.650,10000.000,14,-0.310,0.000,20.200,4.700,15.500,36.100,110.000,5.000,10000.000,3000.000,6.000,,False,False,False,30.000,,,,,,,
control,6,0,control,0,0,0,0,,2020-06-05T22:00:00Z,2020,6,22,0,12.200,10.440,1.760,89.000,180.000,8.000,,10000.000,998.000,4800.000,,7.000,4.000,0,0,0,1,13,2,3000.000,8.000,3300.000,1.760,8000.000,3,-0.000,0.000,3000.000,8.000,3300.000,1.760,8000.000,7,-0.417,-285.714,-1132.053,8.000,3300.000,1.760,8000.000,13,-0.453,-109.890,12.200,10.200,2.000,87.600,180.000,4.000,10000.000,800.000,7.000,18.000,False,False,False,0.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-06-06T03:00:00Z,2020,6,3,1,12.200,8.480,3.720,78.000,200.000,14.000,,,999.000,,,,,0,0,0,0,13,2,-15200.000,12.000,5400.000,2.620,,3,1.100,,-20.000,14.000,5400.000,2.100,,7,0.521,,1007.706,12.000,3300.000,1.760,8000.000,13,0.256,0.000,12.200,8.500,3.700,78.100,200.000,7.000,,3000.000,,,False,False,False,0.000,,,,,,,
control,3,0,control,0,0,0,0,,2020-06-06T16:00:00Z,2020,6,16,0,16.800,7.970,8.830,56.000,200.000,8.000,,10000.000,1005.000,6000.000,,7.000,3.000,0,0,0,0,13,0,0.000,12.000,6000.000,8.830,10000.000,3,-0.830,0.000,0.000,12.000,6000.000,8.290,10000.000,7,-0.118,-0.000,-879.121,14.000,6000.000,8.290,10000.000,13,-0.315,0.000,16.800,8.000,8.800,56.100,200.000,4.000,10000.000,1750.000,7.000,20.000,False,False,False,0.000,,,,,,,
control,6,0,control,0,0,0,0,,2020-06-07T13:00:00Z,2020,6,13,0,19.800,11.040,8.760,57.000,330.000,6.000,,10000.000,1008.000,8000.000,,7.000,4.000,0,0,0,0,13,0,0.000,6.000,8000.000,8.760,10000.000,3,-0.570,0.000,-1857.143,4.000,8000.000,7.980,10000.000,7,0.047,-0.000,-1439.560,2.000,8000.000,6.690,10000.000,13,0.470,0.000,19.800,11.300,8.500,58.000,330.000,3.000,10000.000,1750.000,7.000,33.000,False,False,False,0.000,,,,,,,
control,3,0,control,0,0,0,0,,2020-06-07T16:00:00Z,2020,6,16,0,20.200,11.930,8.270,59.000,320.000,12.000,,10000.000,1007.000,11000.000,,7.000,4.000,0,0,0,0,13,0,0.000,10.000,11000.000,8.270,10000.000,3,-0.850,0.000,1285.714,8.000,8000.000,8.000,10000.000,7,-0.002,-0.000,-87.912,6.000,8000.000,7.980,10000.000,13,-0.177,0.000,20.200,11.700,8.500,58.100,320.000,6.000,10000.000,1250.000,7.000,32.000,False,False,False,0.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-06-09T04:00:00Z,2020,6,4,0,10.000,7.590,2.410,85.000,,2.000,,10000.000,1016.000,,,7.000,7.000,0,0,0,0,13,0,-0.000,2.000,11600.000,2.060,10000.000,3,0.350,,-60.000,6.000,11600.000,1.720,10000.000,7,0.176,,-60.000,4.000,11600.000,1.720,10000.000,13,-0.124,0.000,10.000,7.900,2.100,86.800,270.000,1.000,10000.000,3000.000,7.000,99.000,False,False,False,0.000,,,,,,,
control,3,0,control,0,0,0,0,,2020-06-10T01:30:00Z,2020,6,1,1,9.600,6.320,3.280,80.000,330.000,6.000,,,1014.000,,,,,0,0,0,0,13,0,,6.000,,3.280,,3,-0.370,,,6.000,,3.280,,7,-0.489,,,8.000,,3.280,10000.000,13,-0.340,-0.000,9.500,6.200,3.300,79.900,340.000,3.000,,3000.000,,,False,False,False,30.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-06-10T03:00:00Z,2020,6,3,1,9.500,6.930,2.570,84.000,300.000,6.000,,,1014.000,,,,,0,0,0,0,13,0,,6.000,,2.570,,3,-0.350,,,6.000,,2.570,,7,-0.430,,,6.000,,2.570,10000.000,13,-0.459,-0.000,9.400,6.500,2.900,82.100,310.000,2.000,,3000.000,,,False,False,False,0.000,,,,,,,
pre_event_6h,6,5,high,1,0,0,1,360.000,2020-06-11T01:00:00Z,2020,6,1,1,15.600,14.640,0.960,94.000,340.000,10.000,,,1009.000,,,,,0,0,0,0,13,0,,10.000,,0.960,,3,-0.340,,60.000,10.000,300.000,0.960,10000.000,7,-0.380,,-783.030,10.000,300.000,0.960,10000.000,13,-0.523,0.000,15.600,14.600,1.000,93.800,340.000,5.000,,3000.000,,,False,False,False,0.000,2020-06-11T07:00:00Z,2020-06-11T08:30:00Z,2020-06-11T06:30:00Z,2020-06-11T09:00:00Z,1.500,high,4000.000
pre_event_3h,3,5,high,1,0,0,1,180.000,2020-06-11T04:00:00Z,2020,6,4,0,15.200,14.240,0.960,94.000,340.000,6.000,,6000.000,1009.000,600.000,,8.000,6.000,0,0,0,1,13,1,-2400.000,8.000,500.000,0.960,6000.000,3,0.000,,-1016.216,10.000,500.000,0.960,6000.000,7,-0.000,,321.208,10.000,300.000,0.960,6000.000,13,-0.187,-666.667,15.200,14.200,1.000,93.800,340.000,3.000,6000.000,150.000,8.000,62.000,False,False,False,0.000,2020-06-11T07:00:00Z,2020-06-11T08:30:00Z,2020-06-11T06:30:00Z,2020-06-11T09:00:00Z,1.500,high,4000.000
pre_event_1h,1,5,high,1,0,0,1,60.000,2020-06-11T06:00:00Z,2020,6,6,0,16.000,15.030,0.970,94.000,350.000,6.000,,6000.000,1008.000,600.000,,8.000,5.000,0,0,0,1,13,5,0.000,6.000,600.000,0.970,6000.000,3,0.000,0.000,-500.000,6.000,500.000,0.960,6000.000,7,0.004,0.000,-788.387,8.000,500.000,0.960,6000.000,13,-0.029,0.000,16.000,14.800,1.200,92.600,350.000,3.000,6000.000,150.000,8.000,60.000,False,False,False,0.000,2020-06-11T07:00:00Z,2020-06-11T08:30:00Z,2020-06-11T06:30:00Z,2020-06-11T09:00:00Z,1.500,high,4000.000
pre_event_6h,6,6,high,1,0,0,1,360.000,2020-06-11T22:00:00Z,2020,6,22,0,17.800,15.060,2.740,84.000,,2.000,,10000.000,1011.000,,,5.000,5.000,0,0,0,0,13,0,,2.000,,2.740,10000.000,3,-0.390,0.000,,2.000,,2.740,10000.000,7,-0.827,-0.000,,2.000,,2.740,10000.000,13,-1.007,0.000,17.800,15.100,2.700,84.200,270.000,1.000,10000.000,3000.000,5.000,,False,False,False,0.000,2020-06-12T04:00:00Z,2020-06-12T06:00:00Z,2020-06-12T03:30:00Z,2020-06-12T06:30:00Z,2.000,high,3000.000
pre_event_3h,3,6,high,1,0,0,1,180.000,2020-06-12T01:00:00Z,2020,6,1,1,16.900,15.760,1.140,93.000,350.000,6.000,,,1010.000,,,,,0,0,0,0,13,0,,6.000,,1.140,,3,-0.340,,,6.000,,1.140,10000.000,7,-0.608,,,4.000,,1.140,10000.000,13,-0.618,0.000,16.900,15.800,1.100,93.200,350.000,3.000,,3000.000,,,False,False,False,0.000,2020-06-12T04:00:00Z,2020-06-12T06:00:00Z,2020-06-12T03:30:00Z,2020-06-12T06:30:00Z,2.000,high,3000.000
pre_event_1h,1,6,high,1,0,0,1,60.000,2020-06-12T03:00:00Z,2020,6,3,1,16.800,15.830,0.970,94.000,300.000,4.000,,,,10100.000,10100.000,,,0,0,0,0,13,0,-3900.000,4.000,10100.000,0.970,,3,0.000,,-3900.000,6.000,10100.000,0.970,,7,-0.146,,-3900.000,6.000,10100.000,0.970,10000.000,13,-0.416,-0.000,16.800,15.800,1.000,93.800,300.000,2.000,,3000.000,,,False,False,False,0.000,2020-06-12T04:00:00Z,2020-06-12T06:00:00Z,2020-06-12T03:30:00Z,2020-06-12T06:30:00Z,2.000,high,3000.000
control,3,0,control,0,0,0,0,,2020-06-13T04:30:00Z,2020,6,4,0,20.300,17.130,3.170,82.000,40.000,10.000,,10000.000,1012.000,,,0.000,0.000,0,0,0,0,13,0,,10.000,,2.220,10000.000,3,0.950,0.000,,8.000,,1.850,10000.000,7,0.299,0.000,,8.000,,1.850,10000.000,13,-0.293,0.000,19.700,17.200,2.500,85.500,30.000,5.000,10000.000,3000.000,0.000,,False,False,False,30.000,,,,,,,
control,6,0,control,0,0,0,0,,2020-06-13T22:30:00Z,2020,6,22,0,18.800,13.210,5.590,70.000,50.000,14.000,,,1013.000,,,,,0,0,0,0,13,0,-0.000,10.000,3000.000,4.960,10000.000,3,0.180,-0.000,40.000,12.000,2800.000,4.960,10000.000,7,-0.245,-0.000,40.000,14.000,2800.000,4.960,10000.000,13,-0.807,-0.000,19.300,14.100,5.200,71.900,30.000,5.000,10000.000,800.000,7.000,3.000,False,False,False,30.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-06-15T03:30:00Z,2020,6,3,1,13.600,8.850,4.750,73.000,360.000,6.000,,,1013.000,4100.000,4100.000,,,0,0,0,0,13,0,,8.000,4100.000,3.750,,3,1.000,,-798.113,6.000,4100.000,3.390,,7,0.317,,-944.079,6.000,4100.000,3.390,10000.000,13,-0.197,-0.000,13.200,8.900,4.300,75.200,10.000,4.000,,3000.000,,,False,False,False,30.000,,,,,,,
control,3,0,control,0,0,0,0,,2020-06-17T17:00:00Z,2020,6,17,0,26.200,12.280,13.920,42.000,10.000,18.000,,10000.000,1009.000,,,5.000,5.000,0,0,0,0,13,0,,14.000,,13.920,10000.000,3,-1.590,0.000,,14.000,,13.920,10000.000,7,-0.319,-0.000,,12.000,,13.920,10000.000,13,-0.030,0.000,26.200,12.300,13.900,42.100,10.000,9.000,10000.000,3000.000,5.000,,False,False,False,0.000,,,,,,,
control,3,0,control,0,0,0,0,,2020-06-18T01:00:00Z,2020,6,1,1,17.500,15.130,2.370,86.000,10.000,10.000,,,1009.000,11400.000,11400.000,,,0,0,0,0,13,2,-300.000,8.000,11400.000,2.200,,3,-0.190,,514.286,8.000,10000.000,2.200,10000.000,7,-0.241,-0.000,-1004.918,8.000,4400.000,2.200,10000.000,13,-0.798,-0.000,17.500,15.100,2.400,85.800,10.000,5.000,,3000.000,,,False,False,False,0.000,,,,,,,
pre_event_6h,6,7,high,1,1,0,1,383.000,2020-06-18T14:00:00Z,2020,6,14,0,25.300,16.710,8.590,59.000,10.000,4.000,,10000.000,1006.000,5000.000,,5.000,2.000,0,0,0,0,13,1,0.000,4.000,5000.000,8.590,10000.000,3,-3.060,0.000,564.286,4.000,3500.000,8.590,10000.000,7,-0.345,-0.000,115.385,2.000,1800.000,4.810,10000.000,13,0.918,0.000,25.300,16.500,8.800,58.200,10.000,2.000,10000.000,1250.000,5.000,17.000,False,False,False,0.000,2020-06-18T20:23:00Z,2020-06-18T22:00:00Z,2020-06-18T20:00:00Z,2020-06-18T22:30:00Z,1.620,high,400.000
pre_event_3h,3,7,high,1,1,0,1,203.000,2020-06-18T17:00:00Z,2020,6,17,0,18.500,15.930,2.570,85.000,240.000,6.000,,10000.000,1007.000,5000.000,,7.000,3.000,0,0,0,1,14,6,2500.000,12.000,2500.000,2.210,5000.000,3,0.360,5000.000,-384.973,12.000,1200.000,2.210,1000.000,8,-2.385,-521.997,-206.504,6.000,1200.000,2.210,1000.000,14,-1.465,-542.753,18.500,15.900,2.600,84.800,240.000,3.000,10000.000,1250.000,7.000,24.000,False,False,False,0.000,2020-06-18T20:23:00Z,2020-06-18T22:00:00Z,2020-06-18T20:00:00Z,2020-06-18T22:30:00Z,1.620,high,400.000
pre_event_1h,1,7,high,1,1,0,1,83.000,2020-06-18T19:00:00Z,2020,6,19,0,18.900,17.220,1.680,90.000,40.000,4.000,,10000.000,1008.000,8000.000,,7.000,3.000,0,0,0,0,14,7,2000.000,4.000,6000.000,1.680,10000.000,3,-0.170,0.000,1821.429,6.000,2500.000,1.680,5000.000,7,-0.318,1071.429,433.224,6.000,1200.000,1.680,1000.000,14,-1.682,79.360,18.900,17.200,1.700,89.900,40.000,2.000,10000.000,1750.000,7.000,4.000,False,False,False,0.000,2020-06-18T20:23:00Z,2020-06-18T22:00:00Z,2020-06-18T20:00:00Z,2020-06-18T22:30:00Z,1.620,high,400.000
pre_event_6h,6,8,high,1,1,0,1,360.000,2020-06-18T22:00:00Z,2020,6,22,0,17.800,16.650,1.150,93.000,,2.000,,400.000,1008.000,,,5.000,5.000,0,0,1,0,15,4,,3.000,,1.150,400.000,4,-0.372,-2207.547,2000.000,4.000,8000.000,1.150,400.000,9,-0.125,-3932.195,1839.041,4.000,2500.000,1.150,400.000,15,-0.220,-1517.125,17.800,16.800,1.000,93.900,270.000,1.000,400.000,3000.000,5.000,46.000,False,False,True,0.000,2020-06-19T04:00:00Z,2020-06-19T06:30:00Z,2020-06-19T03:30:00Z,2020-06-19T07:00:00Z,2.500,high,200.000
pre_event_3h,3,8,high,1,1,0,1,180.000,2020-06-19T01:00:00Z,2020,6,1,1,16.600,15.630,0.970,94.000,320.000,4.000,,,1008.000,,,,,0,0,0,0,14,0,,2.000,,0.970,,3,0.000,,,3.000,,0.970,400.000,6,-0.075,,2000.000,4.000,8000.000,0.970,400.000,14,-0.125,-3932.195,16.600,15.700,0.900,94.400,320.000,2.000,,3000.000,,,False,False,False,0.000,2020-06-19T04:00:00Z,2020-06-19T06:30:00Z,2020-06-19T03:30:00Z,2020-06-19T07:00:00Z,2.500,high,200.000
pre_event_1h,1,8,high,1,1,0,1,60.000,2020-06-19T03:00:00Z,2020,6,3,1,17.700,16.720,0.980,94.000,350.000,2.000,,,1009.000,,,,,0,0,0,0,13,0,,2.000,,0.970,,3,0.010,,,2.000,,0.970,,7,0.002,,,2.000,,0.970,400.000,13,-0.082,-2207.547,17.700,16.700,1.000,93.900,350.000,1.000,,3000.000,,,False,False,False,0.000,2020-06-19T04:00:00Z,2020-06-19T06:30:00Z,2020-06-19T03:30:00Z,2020-06-19T07:00:00Z,2.500,high,200.000
pre_event_6h,6,9,high,1,0,1,0,360.000,2020-06-19T13:30:00Z,2020,6,13,0,19.300,15.760,3.540,80.000,300.000,10.000,,10000.000,1009.000,8000.000,,7.000,4.000,0,0,0,0,16,3,-2000.000,10.000,8000.000,2.200,10000.000,3,1.340,0.000,2909.235,9.000,2000.000,2.200,8000.000,10,-1.667,220.329,1446.385,6.000,1000.000,2.200,7000.000,16,-0.260,493.245,18.500,16.300,2.200,87.000,280.000,3.000,10000.000,450.000,7.000,28.000,False,False,False,30.000,2020-06-19T19:30:00Z,2020-06-19T20:00:00Z,2020-06-19T19:00:00Z,2020-06-19T20:30:00Z,0.500,high,8000.000
pre_event_3h,3,9,high,1,0,1,0,180.000,2020-06-19T16:30:00Z,2020,6,16,0,19.300,16.900,2.400,86.000,320.000,6.000,,10000.000,1009.000,4500.000,,7.000,3.000,0,0,0,1,18,6,0.000,6.000,4500.000,2.400,10000.000,3,-0.190,0.000,-1486.503,10.000,4500.000,2.400,6000.000,9,-0.951,71.986,535.111,9.000,2000.000,2.200,6000.000,18,-0.519,26.819,19.600,16.800,2.800,83.900,320.000,3.000,10000.000,450.000,7.000,32.000,False,False,False,30.000,2020-06-19T19:30:00Z,2020-06-19T20:00:00Z,2020-06-19T19:00:00Z,2020-06-19T20:30:00Z,0.500,high,8000.000
pre_event_1h,1,9,high,1,0,1,0,60.000,2020-06-19T18:30:00Z,2020,6,18,0,18.300,16.630,1.670,90.000,300.000,10.000,,10000.000,1009.000,11000.000,,7.000,4.000,0,0,0,0,15,4,0.000,10.000,11000.000,1.670,10000.000,3,-0.710,0.000,2728.571,8.000,4400.000,1.670,10000.000,7,-0.304,-0.000,87.676,10.000,4400.000,1.670,6000.000,15,-0.341,51.458,18.400,16.600,1.800,89.300,310.000,3.000,10000.000,1750.000,7.000,31.000,False,False,False,30.000,2020-06-19T19:30:00Z,2020-06-19T20:00:00Z,2020-06-19T19:00:00Z,2020-06-19T20:30:00Z,0.500,high,8000.000
pre_event_6h,6,10,high,1,0,0,1,373.000,2020-06-19T23:00:00Z,2020,6,23,1,17.500,16.520,0.980,94.000,320.000,8.000,,,1010.000,400.000,400.000,,,0,0,0,0,13,1,-800.000,8.000,200.000,0.980,6000.000,3,0.000,,-6014.286,8.000,200.000,0.980,6000.000,7,-0.097,-600.000,-1265.934,8.000,200.000,0.980,6000.000,13,-0.244,-818.182,17.500,16.500,1.000,93.900,320.000,4.000,,3000.000,,,False,False,False,0.000,2020-06-20T05:13:00Z,2020-06-20T11:30:00Z,2020-06-20T05:00:00Z,2020-06-20T12:00:00Z,6.280,high,1500.000
pre_event_3h,3,10,high,1,0,0,1,193.000,2020-06-20T02:00:00Z,2020,6,2,1,17.600,16.450,1.150,93.000,320.000,4.000,,,1010.000,500.000,500.000,,,0,0,0,0,13,0,100.000,6.000,400.000,1.140,,3,0.010,,49.689,8.000,300.000,0.980,,7,0.059,,-2655.159,8.000,200.000,0.980,6000.000,13,0.004,-600.000,17.600,16.500,1.100,93.300,320.000,2.000,,3000.000,,,False,False,False,0.000,2020-06-20T05:13:00Z,2020-06-20T11:30:00Z,2020-06-20T05:00:00Z,2020-06-20T12:00:00Z,6.280,high,1500.000
pre_event_1h,1,10,high,1,0,0,1,73.000,2020-06-20T04:00:00Z,2020,6,4,0,17.100,15.960,1.140,93.000,330.000,8.000,,8000.000,1010.000,400.000,,7.000,4.000,0,0,0,0,13,0,0.000,8.000,200.000,1.140,8000.000,3,-0.170,,-50.000,8.000,200.000,1.140,8000.000,7,0.036,,-49.531,8.000,200.000,0.980,6000.000,13,0.054,333.333,17.100,16.000,1.100,93.200,330.000,4.000,8000.000,75.000,7.000,33.000,False,False,False,0.000,2020-06-20T05:13:00Z,2020-06-20T11:30:00Z,2020-06-20T05:00:00Z,2020-06-20T12:00:00Z,6.280,high,1500.000
